system:index,20250601_aod_20250601,20250601_cloud_20250601,20250601_no2_20250601,20250602_aod_20250602,20250602_cloud_20250602,20250602_no2_20250602,20250603_aod_20250603,20250603_cloud_20250603,20250603_no2_20250603,20250604_aod_20250604,20250604_cloud_20250604,20250604_no2_20250604,20250605_aod_20250605,20250605_cloud_20250605,20250605_no2_20250605,20250606_aod_20250606,20250606_cloud_20250606,20250606_no2_20250606,20250607_aod_20250607,20250607_cloud_20250607,20250607_no2_20250607,20250608_aod_20250608,20250608_cloud_20250608,20250608_no2_20250608,20250609_aod_20250609,20250609_cloud_20250609,20250609_no2_20250609,20250610_aod_20250610,20250610_cloud_20250610,20250610_no2_20250610,20250611_aod_20250611,20250611_cloud_20250611,20250611_no2_20250611,20250612_aod_20250612,20250612_cloud_20250612,20250612_no2_20250612,20250613_aod_20250613,20250613_cloud_20250613,20250613_no2_20250613,20250614_aod_20250614,20250614_cloud_20250614,20250614_no2_20250614,20250615_aod_20250615,20250615_cloud_20250615,20250615_no2_20250615,20250616_aod_20250616,20250616_cloud_20250616,20250616_no2_20250616,20250617_aod_20250617,20250617_cloud_20250617,20250617_no2_20250617,20250618_aod_20250618,20250618_cloud_20250618,20250618_no2_20250618,20250619_aod_20250619,20250619_cloud_20250619,20250619_no2_20250619,20250620_aod_20250620,20250620_cloud_20250620,20250620_no2_20250620,20250621_aod_20250621,20250621_cloud_20250621,20250621_no2_20250621,20250622_aod_20250622,20250622_cloud_20250622,20250622_no2_20250622,20250623_aod_20250623,20250623_cloud_20250623,20250623_no2_20250623,20250624_aod_20250624,20250624_cloud_20250624,20250624_no2_20250624,20250625_aod_20250625,20250625_cloud_20250625,20250625_no2_20250625,20250626_aod_20250626,20250626_cloud_20250626,20250626_no2_20250626,20250627_aod_20250627,20250627_cloud_20250627,20250627_no2_20250627,20250628_aod_20250628,20250628_cloud_20250628,20250628_no2_20250628,20250629_aod_20250629,20250629_cloud_20250629,20250629_no2_20250629,20250630_aod_20250630,20250630_cloud_20250630,20250630_no2_20250630,bottom,col_index,grid_id,id,latitude,left,longitude,right,row_index,sort_key,top,.geo
00000000000000000000,0.4978363636363637,0.03439557552339075,1.8245082173969725E-5,0.26069696969696976,0.718673706054986,,,0.24897551342261656,4.0351733550534525E-5,0.6215200000000002,0.0,3.052907473150998E-5,,0.36391673935424274,,0.5476763636363636,0.3503238706906381,2.190801339981054E-5,0.6939927272727273,0.8348587155345569,,,,2.604794644868152E-5,,0.9999999999996926,,,0.9999999999997643,,,0.8914293415452689,,,0.815249681473117,,,0.9948414678717703,,,0.9109537288034681,,,0.9999999999996078,,,1.000000026311306,,,0.383569539259064,,,0.3162725098323694,,,0.8835426568988655,,,0.07853535247809987,2.3057057889141753E-5,0.439,0.26389926671992775,,,0.19932897388943366,6.395816399165524E-6,,1.0000000000003695,,,1.0000000000000542,,,0.7427687802637467,,,1.0000000000006213,,,0.462542623281671,,,0.2938825165163103,2.025590225968452E-5,,1.0000000189208536,,,1.0000000000004152,,1947644.4222,19,HYD_0001,856,17.60310185050841,225391.0724,78.4171491484952,226391.0724,0,19,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.41250718326043,17.598524567854238],[78.42192038629925,17.59864943742559],[78.4217911077829,17.60767912623549],[78.41237789289268,17.607554193796087],[78.41250718326043,17.598524567854238]]]}"
00000000000000000001,0.5028082706766916,0.0343955755233683,1.8245082173957816E-5,0.28296969696969704,0.718673706054517,,,0.14581800727210323,3.318489490196731E-5,0.6180714285714286,0.0,2.9341192202984837E-5,,0.4304298024566492,,0.5393082706766917,0.29751602982785724,2.4686321796497524E-5,0.6928646616541353,0.8350970210175427,,,,2.6047946448664517E-5,,1.000000000000518,,,1.0000000282179746,,,0.9420886513377705,,,0.8324727826825719,,,0.9952193455972845,,,0.9483862899391198,,,0.999999999999654,,,0.9999999916022071,,,0.38354787230482534,,,0.3073495468470199,,,0.8693698784158171,,,0.07766324799991381,1.848906421445335E-5,0.439,0.2638992667197555,,,0.1993289738893036,6.39581639916135E-6,,0.9999999999997886,,,0.9999999999997083,,,0.6448220687681425,,,0.9999999999997958,,,0.4649671991984537,,,0.29268938302986824,2.025590220000114E-5,,1.0000000203377077,,,0.9999999999997626,,1947644.4222,20,HYD_0002,901,17.603224481347986,226391.0724,78.42656454231273,227391.0724,0,20,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.42192038629925,17.59864943742559],[78.43133801818023,17.59876982806824],[78.43120866477601,17.607799485466465],[78.4217911077829,17.60767912623549],[78.42192038629925,17.59864943742559]]]}"
00000000000000000002,0.4926278195488722,0.01829689483851519,1.817255851977337E-5,0.28600000000000003,0.7186737060545674,,,0.12531961742606962,3.257803805103849E-5,0.6106616541353383,0.0,2.9341192202986903E-5,,0.4984365579536665,,0.5456654135338348,0.18933040400321766,2.468632143018478E-5,0.6830526315789476,0.8544787268654563,,,,2.7934914894662627E-5,,0.9999999999997324,,,1.000000002060352,,,0.9472773075102173,,,0.9550224076554652,,,0.9957540702462071,,,0.9736490499744075,,,0.9999999999998327,,,0.999999999141961,,,0.38354787235220855,,,0.3062588572501624,,,0.8500621842779578,,,0.0775820091366638,1.8063543393506437E-5,,0.2638992667197739,,,0.1993289738893175,6.395816399161798E-6,,0.9999999999998346,,,0.9999999999998327,,,0.6321984198754275,,,0.9999999999998327,,,0.4761771414362607,,,0.2926893830298888,2.0255902200002557E-5,,0.999999969652332,,,0.9999999999998327,,1947644.4222,21,HYD_0003,946,17.60334745656284,227391.0724,78.435981029435,228391.0724,0,21,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.43133801818023,17.59876982806824],[78.44075114164264,17.59889463760825],[78.44062631102797,17.607924356730884],[78.43120866477601,17.607799485466465],[78.43133801818023,17.59876982806824]]]}"
00000000000000000003,0.48408988764044947,3.864671477047326E-4,1.810835940170189E-5,0.2947272727272727,0.7184261114366802,,,0.12476237657049041,3.310586924200865E-5,0.5967827715355803,0.0,3.040920450216876E-5,,0.49864932821450353,,0.5542883895131087,0.11863839689641374,2.4686321632344815E-5,0.6761385767790262,0.8577206111958554,,,,3.7080623020196784E-5,,1.0000000000005973,,,1.0000000000004812,,,0.9472773075109449,,,0.963249504566771,,,0.9972079632244116,,,0.979855210314571,,,0.9999999993490162,,,1.0000000000004787,,,0.38354787637358834,,,0.3062588572503976,,,0.8488641977315278,,,0.08265785897839655,1.8587886302949357E-5,,0.26389926671997654,,,0.18679822421198644,1.1615446537330356E-5,,1.0000000000007006,,,1.0000000000006006,,,0.6269291808465107,,,0.9997875722499697,,,0.48854280922164806,,,0.29268938303011355,2.0255902200018115E-5,,0.9999999791622615,,,1.0000000000006068,,1947644.4222,22,HYD_0004,991,17.60346936131066,228391.0724,78.44539642811792,229391.0724,0,22,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.44075114164264,17.59889463760825],[78.45016877791868,17.59901506153213],[78.4500394482954,17.6080447547245],[78.44062631102797,17.607924356730884],[78.44075114164264,17.59889463760825]]]}"
00000000000000000004,0.4903233082706768,0.0,1.810702087822729E-5,0.2927272727272727,0.7069175110141733,,0.4275555555555556,0.12020607361369218,3.231146035486894E-5,0.5941959999999998,0.0,3.238172212148923E-5,,0.4948254340524237,,0.5616917293233085,0.10136026704009256,2.4686321999837977E-5,0.6763909774436092,0.8577625751492646,,,,3.728555384440099E-5,,0.9999999999995626,,,0.9999999936784166,,,0.9472773075100761,,,0.9632495045658878,,,0.999999999999231,,,0.9674418098291183,,,0.9999999779879379,,,0.9999999999996837,,,0.38252264744239106,,,0.3062588572501167,,,0.8510815796193224,,,0.23738352597618165,3.4571280005989266E-5,,0.25861184482616967,9.142836218435889E-6,,0.17460446059698304,1.669470657361143E-5,,0.999999999999623,,,0.9999999999996837,,,0.4969582599508208,,,0.9888907237194965,,,0.4929660686321093,,,0.29268938302984515,2.025590219999954E-5,,0.9999999928875114,,,0.9999999999999519,,1947644.4222,23,HYD_0005,1036,17.60359047340871,229391.0724,78.45481181634253,230391.0724,0,23,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.45016877791868,17.59901506153213],[78.45958199136545,17.599135463927308],[78.45945709699211,17.60816512376323],[78.4500394482954,17.6080447547245],[78.45016877791868,17.59901506153213]]]}"
00000000000000000005,0.5341992481203008,0.0,1.8107020878231826E-5,0.30509090909090913,0.7023695707320706,,0.4261578947368421,0.07811493097703336,2.8424543993529338E-5,0.56825,0.0,3.2434721168216346E-5,,0.4939270317554149,,0.5530187969924814,0.09762685417873322,2.4686321780260874E-5,0.7089924812030076,0.8577625751494798,,,,3.7285553844410336E-5,,1.0000000000000002,,,0.9999999999999344,,,0.9473627941221872,,,0.9632495045661293,,,0.9999999999999344,,,0.7806699783458595,,,,,,0.9999999999999344,,,0.3641004646728509,2.4933102324751733E-5,,0.30625885725019353,,,0.8853057268650616,,,0.26634764671323935,3.756331716431058E-5,,0.18881550378792578,9.142836213152111E-6,,0.1747121486051727,1.6706057638440877E-5,,0.999999999999997,,,0.9999999999999344,,,0.46403139681376726,,,0.9768858551978424,,,0.49469035236355674,,,0.29268938302991854,2.025590220000462E-5,,1.000000006380857,,,1.000000000000359,,1947644.4222,24,HYD_0006,1081,17.6037105182521,230391.0724,78.46422834984592,231391.0724,0,24,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.45958199136545,17.599135463927308],[78.46899954135881,17.599255826993645],[78.46887474522356,17.60828555352834],[78.45945709699211,17.60816512376323],[78.45958199136545,17.599135463927308]]]}"
00000000000000000006,0.56103007518797,0.0,1.810702087824179E-5,0.32139436619718315,0.7023695707324572,,0.41455263157894745,0.07768619721185052,3.0512747480978927E-5,0.5767255639097745,0.0,3.1834021211532124E-5,,0.4939270317556869,,0.547545112781955,0.1715011912382701,2.46863213649185E-5,0.706778195488722,0.8577625751499519,,,,3.604467493303616E-5,,1.0000000000002076,,,1.000000000000485,,,0.9485384612167255,,,0.9632495045666596,,,1.0000000000004745,,,0.7646233410496994,,,,,,1.000000000000485,,,0.31320365680949913,2.493310232241123E-5,,0.30626024286747844,,,0.912403523922409,,,0.2669039340643789,3.756331702261542E-5,,0.16744424452890425,9.285092044005142E-6,,0.17909584093346506,1.7168129064827777E-5,,1.0000000000004745,,,1.000000000000485,,,0.45841902784148447,,,0.9768858551983803,,,0.49550253383956544,,,0.2926893830300797,2.025590220001577E-5,,1.0000000083083407,,,0.9999999999998295,,1947644.4222,25,HYD_0007,1126,17.6038305571507,231391.0724,78.47364484484892,232391.0724,0,25,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.46899954135881,17.599255826993645],[78.47841717662097,17.59937625608895],[78.47828788275713,17.60840595685405],[78.46887474522356,17.60828555352834],[78.46899954135881,17.599255826993645]]]}"
00000000000000000007,0.5748239700374531,0.0,1.8107020878227703E-5,0.3233153846153846,0.7023695707319108,,0.4052846441947567,0.07804550541646743,3.1719693984179326E-5,0.6507490636704121,0.0,2.550543958491137E-5,,0.5151541743377389,,0.5499700374531836,0.2630181312560264,,0.7172059925093633,0.8577625751492847,,,,2.7938887068565188E-5,,1.000000000000476,,,0.9999999999997067,,,0.9519095148049465,,,0.9632495045659101,,,0.999999999999667,,,0.7765296591550152,,,0.9999999970253379,,,0.9999999999997067,,,0.2400876660769581,2.4933102395145358E-5,,0.3097925003376705,,,0.9124035239216991,,,0.27857418081276275,3.5379560928009575E-5,,0.1610035442627815,1.1219073644154042E-5,,0.20377437035338733,1.9769416113761303E-5,,0.999999999999667,,,0.9999999999997211,,,0.43599535727519373,,,0.97688585519762,,,0.4935650901682823,,,0.2926893830298519,2.0255902200000006E-5,,0.999999968154148,,,1.000000000000476,,1947644.4222,26,HYD_0008,1171,17.603951674243344,232391.0724,78.4830602312184,233391.0724,0,26,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.47841717662097,17.59937625608895],[78.48783038731723,17.59949666439888],[78.48770552751309,17.608526330468496],[78.47828788275713,17.60840595685405],[78.47841717662097,17.59937625608895]]]}"
00000000000000000008,0.4972846441947564,0.0,1.810702087823019E-5,0.31131404958677683,0.702369570732007,,0.40870037453183516,0.07939569134015946,3.209035423272633E-5,0.6555505617977526,0.0,2.145979050568875E-5,,0.5950604594968489,,0.5796254681647939,0.26301813125606244,,0.7229213483146066,0.8577625751494021,,,,2.1732417735617007E-5,,0.9999999999998439,,,0.9999999999998439,,,0.9544875179368975,,,0.9632495045660422,,,0.9999999999999124,,,0.8260304494279608,,,0.9999999970070951,,,0.9999999999998439,,,0.26950100402899113,2.493310239514878E-5,,0.32306643717070843,,,0.9124035239218241,,,0.31137038542511775,2.597604295803731E-5,,0.14587106152499668,1.5762987609531576E-5,,0.2278900394907188,2.231137385661846E-5,,0.9999999999999124,,,0.9999999999999124,,,0.4081503234843411,,,0.976885855197754,,,0.4863335713465725,,,0.2926893830298921,2.0255902200002787E-5,,0.9999999999998439,,,0.9999999999998439,,1947644.4222,27,HYD_0009,1216,17.604071687934944,233391.0724,78.49247675129256,234391.0724,0,27,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.48783038731723,17.59949666439888],[78.49724801709968,17.599617037737872],[78.49712308214212,17.60864667079245],[78.48770552751309,17.608526330468496],[78.48783038731723,17.59949666439888]]]}"
00000000000000000009,0.5495449438202247,0.03439557552339607,1.8245082173972537E-5,,0.7186737060550971,,,0.2489755182116584,4.067432068477288E-5,0.6831348314606742,0.0,3.756704517807391E-5,,0.3706311915962599,,0.5903370786516854,0.15859649264668926,1.611021811910648E-5,0.7368202247191011,0.8348587155346859,,,0.0,2.661984296178383E-5,,1.0000000000005123,,,0.9999999901541798,,,0.8452606797223139,,,0.8281385576749619,,,1.0000000000005698,,,1.0000000000005698,,,1.0000000000005698,,,0.9999999854739983,,,0.4305889401069782,,,0.31781759858149516,,,0.8835426568990019,,,0.07963933795695073,2.8839620426895697E-5,,0.27936318819847816,,,0.19932897388946444,6.395816399166513E-6,,1.0000000000005698,,,1.0000000000005698,,,0.7124828254048979,,,1.0000000000005698,,,0.4692502359527779,,,0.34644648007376005,2.025590191275857E-5,,1.0000000110899185,,,0.9999999999997288,,1946644.4222,17,HYD_0010,767,17.593822417779542,223391.0724,78.39844768082557,224391.0724,1,10017,1947644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.39380576845336,17.589245120123852],[78.40321894854154,17.5893699811932],[78.40308955971089,17.59839967599633],[78.39367645457385,17.59827484567697],[78.39380576845336,17.589245120123852]]]}"
